@relation ncaa

@attribute name string
@attribute year string
@attribute seed integer
@attribute record real
@attribute conference integer
@attribute rpi real
@attribute finish real
@attribute ppg real
@attribute rpg real
@attribute apg real
@attribute spg real
@attribute bpg real
@attribute tpg real
@attribute fgp real
@attribute ftp real
@attribute tpp real

@data
'New Mexico',			2013,	3,	.8529,	0,	.6708,	1,	67,	35,	15,	6,	4,	12,	.425,	.722,	.354
'Harvard',				2013,	14,	.6786,	0,	.5447,	2,	69,	29,	13,	7,	4,	14,	.482,	.720,	.401
'Notre Dame',			2013,	7,	.7353,	1,	.5981,	1,	70,	36,	17,	5,	4,	11,	.463,	.707,	.373
'Iowa State',			2013,	10,	.6667,	1,	.5903,	2,	80,	39,	16,	7,	3,	13,	.455,	.731,	.370
'Ohio State',			2013,	2,	.7879,	1,	.6364,	4,	70,	35,	14,	7,	4,	11,	.456,	.692,	.359
'Iona',					2013,	15,	.6061,	0,	.5407,	1,	81,	36,	15,	7,	3,	12,	.457,	.778,	.373
'Kansas',				2013,	1,	.8529,	1,	.6477,	3,	75,	39,	16,	7,	7,	14,	.480,	.733,	.367
'Western Kentucky',		2013,	16,	.5714,	0,	.5112,	1,	67,	36,	11,	6,	3,	15,	.431,	.674,	.324
'North Carolina',		2013,	8,	.7059,	1,	.6185,	2,	77,	39,	17,	8,	3,	12,	.444,	.667,	.371
'Villanova',			2013,	9,	.6061,	1,	.5783,	1,	68,	36,	12,	8,	3,	16,	.415,	.720,	.336
'VCU',					2013,	5,	.7647,	0,	.6099,	2,	78,	35,	15,	12,	3,	12,	.452,	.701,	.356
'Akron',				2013,	12,	.8125,	0,	.5906,	1,	73,	38,	15,	7,	6,	14,	.457,	.645,	.337
'Michigan',				2013,	4,	.7879,	1,	.6176,	6,	75,	35,	14,	6,	3,	9,	.484,	.707,	.383
'South Dakota State',	2013,	13,	.7353,	0,	.5643,	1,	74,	35,	15,	5,	2,	10,	.470,	.763,	.394
'UCLA',					2013,	6,	.7353,	1,	.6088,	1,	75,	36,	16,	8,	4,	11,	.455,	.722,	.339
'Minnesota',			2013,	11,	.6250,	1,	.6001,	2,	68,	39,	15,	8,	6,	14,	.442,	.685,	.326
'Florida',				2013,	3,	.7879,	1,	.6369,	4,	72,	35,	15,	7,	3,	11,	.484,	.688,	.382
'NW State',				2013,	14,	.7419,	0,	.5545,	1,	81,	39,	15,	10,	5,	14,	.461,	.686,	.317
'San Diego State',		2013,	7,	.6875,	0,	.6029,	2,	69,	37,	12,	7,	5,	12,	.438,	.676,	.324
'Oklahoma',				2013,	10,	.6452,	1,	.5946,	1,	71,	37,	12,	6,	3,	12,	.436,	.760,	.326
'Georgetown',			2013,	2,	.8065,	1,	.6350,	1,	65,	33,	15,	8,	4,	13,	.456,	.680,	.358
'FGCU',					2013,	15,	.7059,	0,	.5444,	3,	73,	37,	14,	9,	4,	15,	.460,	.677,	.339
'Indiana',				2013,	1,	.8182,	1,	.6377,	3,	80,	39,	15,	7,	4,	13,	.486,	.745,	.411
'James Madison',		2013,	16,	.5882,	0,	.4930,	1,	65,	33,	12,	8,	5,	11,	.420,	.701,	.333
'NC State',				2013,	8,	.7059,	1,	.6023,	1,	78,	37,	15,	7,	4,	12,	.494,	.683,	.393
'Temple',				2013,	9,	.7188,	0,	.5912,	2,	73,	34,	15,	8,	4,	11,	.430,	.725,	.334
'UNLV',					2013,	5,	.7353,	0,	.6151,	1,	72,	40,	16,	7,	6,	14,	.439,	.705,	.330
'California',			2013,	12,	.6452,	1,	.5775,	2,	68,	37,	14,	6,	5,	13,	.446,	.725,	.304
'Syracuse',				2013,	4,	.7429,	1,	.6275,	5,	71,	39,	15,	9,	6,	13,	.440,	.675,	.334
'Montana',				2013,	13,	.8065,	0,	.5563,	1,	71,	31,	13,	6,	3,	12,	.474,	.768,	.385
'Butler',				2013,	6,	.7647,	0,	.6140,	2,	69,	37,	13,	6,	2,	13,	.453,	.689,	.348
'Bucknell',				2013,	11,	.8485,	0,	.5817,	1,	67,	36,	13,	4,	4,	9,	.456,	.744,	.360
'Marquette',			2013,	3,	.7419,	1,	.6282,	4,	69,	35,	14,	7,	3,	14,	.467,	.723,	.301
'Davidson',				2013,	14,	.7879,	0,	.5653,	1,	74,	34,	14,	6,	3,	11,	.463,	.801,	.369
'Illinois',				2013,	7,	.6471,	1,	.5939,	2,	69,	34,	10,	7,	4,	12,	.416,	.725,	.325
'Colorado',				2013,	10,	.6563,	1,	.5953,	1,	68,	37,	10,	7,	3,	13,	.436,	.684,	.347
'Miami',				2013,	2,	.8182,	1,	.6542,	3,	69,	36,	11,	6,	5,	11,	.458,	.675,	.351
'Pacific',				2013,	15,	.6471,	0,	.5394,	1,	68,	32,	15,	6,	1,	11,	.452,	.694,	.383
'Kentucky',				2012,	1,	.9412,	1,	.6652,	7,	77,	39,	13,	6,	9,	11,	.487,	.723,	.38
'Western Kentucky',		2012,	16,	.4545,	0,	.4864,	1,	65,	36,	11,	6,	4,	15,	.397,	.693,	.308
'Iowa State',			2012,	8,	.6875,	1,	.5916,	2,	73,	37,	15,	6,	3,	13,	.449,	.679,	.38
'Connecticut',			2012,	9,	.6061,	1,	.5937,	1,	69,	38,	14,	6,	7,	13,	.454,	.661,	.331
'Wichita State',		2012,	5,	.8438,	0,	.622,	1,	78,	38,	15,	6,	4,	12,	.485,	.751,	.373
'VCU',					2012,	12,	.8235,	0,	.5842,	2,	68,	34,	12,	11,	4,	11,	.41,	.689,	.337
'Indiana',				2012,	4,	.7576,	1,	.6176,	3,	77,	35,	13,	6,	3,	13,	.487,	.762,	.433
'New Mexico State',		2012,	13,	.7429,	0,	.5728,	1,	78,	40,	14,	7,	4,	15,	.472,	.667,	.327
'UNLV',					2012,	6,	.7647,	0,	.6158,	1,	77,	38,	18,	8,	5,	13,	.462,	.679,	.37
'Colorado',				2012,	11,	.6765,	1,	.5717,	2,	68,	36,	12,	6,	3,	13,	.445,	.694,	.343
'Baylor',				2012,	3,	.7941,	1,	.6331,	4,	75,	36,	15,	8,	5,	14,	.47,	.751,	.381
'South Dakota State',	2012,	14,	.7941,	0,	.5798,	1,	77,	34,	14,	7,	2,	11,	.469,	.73,	.393
'Notre Dame',			2012,	7,	.6667,	1,	.5839,	1,	66,	34,	14,	5,	3,	10,	.432,	.708,	.329
'Xavier',				2012,	10,	.6364,	0,	.5813,	3,	71,	37,	14,	6,	4,	13,	.456,	.691,	.355
'Duke',					2012,	2,	.8182,	1,	.6489,	1,	78,	37,	12,	6,	4,	12,	.458,	.702,	.376
'Lehigh',				2012,	15,	.7879,	0,	.5472,	2,	76,	36,	13,	8,	3,	11,	.449,	.776,	.357
'Michigan State',		2012,	1,	.7879,	1,	.6596,	3,	72,	38,	15,	7,	4,	13,	.476,	.702,	.362
'Long Island',			2012,	16,	.7576,	0,	.5553,	1,	82,	39,	15,	6,	3,	16,	.475,	.731,	.368
'Memphis',				2012,	8,	.7647,	0,	.6196,	1,	75,	34,	15,	8,	6,	13,	.494,	.720,	.369
'Saint Louis',			2012,	9,	.7813,	0,	.5991,	2,	69,	33,	14,	7,	3,	11,	.452,	.716,	.362
'New Mexico',			2012,	5,	.8182,	0,	.6063,	2,	73,	38,	16,	7,	3,	13,	.463,	.707,	.385
'Long Beach State',		2012,	12,	.7576,	0,	.5901,	1,	74,	36,	14,	7,	3,	13,	.469,	.671,	.36
'Louisville',			2012,	4,	.7429,	1,	.6207,	5,	69,	38,	14,	9,	5,	15,	.425,	.686,	.311
'Davidson',				2012,	13,	.7813,	0,	.5705,	1,	78,	39,	14,	6,	3,	12,	.449,	.764,	.339
'Murray State',			2012,	6,	.9677,	0,	.6119,	2,	74,	33,	13,	8,	4,	14,	.477,	.73,	.406
'Colorado State',		2012,	11,	.6452,	0,	.6051,	1,	71,	31,	12,	5,	2,	12,	.476,	.769,	.405
'Marquette',			2012,	3,	.7813,	1,	.633,	3,	76,	36,	17,	9,	4,	13,	.459,	.721,	.337
'BYU',					2012,	14,	.7576,	0,	.5783,	1,	78,	38,	17,	8,	4,	13,	.468,	.705,	.342
'Florida',				2012,	7,	.697,	1,	.6050,	4,	76,	35,	15,	6,	3,	11,	.461,	.712,	.39
'Virginia',				2012,	10,	.7097,	1,	.5762,	1,	63,	32,	12,	7,	3,	11,	.46,	.724,	.337
'Missouri',				2012,	2,	.8824,	1,	.6298,	1,	80,	32,	16,	8,	3,	10,	.504,	.766,	.395
'Norfolk State',		2012,	15,	.7353,	0,	.5225,	2,	69,	36,	12,	7,	5,	15,	.443,	.653,	.311
'Syracuse',				2012,	1,	.9394,	1,	.6667,	4,	75,	35,	16,	10,	7,	11,	.465,	.691,	.345
'UNC Asheville',		2012,	16,	.7273,	0,	.5382,	1,	81,	35,	17,	8,	3,	13,	.484,	.762,	.353
